event_id,date,published_date,country,sector,domain,entity,event_title,event_summary,source_name,source_type,source_url,source_tier,secondary_sources,space_compute_relevance_score,industry_impact_score,novelty_score,total_score,priority,reason_for_priority,include_in_report,implication,meaning_for_us,next_watch,analyst_note,source_discovery_flag
2026W38-FIN-011,2026-09-14,2026-09-14,US,Financing,Space_Compute;Commercial_Space,Sophia Space;SLI,Sophia Space与SLI确定3亿美元轨道算力资产融资框架,双方公布面向10颗高性能边缘计算卫星的3亿美元资产融资框架；SLI拟购买卫星并向终端用户租赁。规划星座约相当于240台边缘服务器，不代表已部署。,Sophia Space / PR Newswire,Company,https://www.prnewswire.com/news-releases/sophia-space-and-sli-set-terms-for-300-million-asset-financing-for-10-satellite-high-performance-edge-computing-constellation-302877130.html,S_Core,https://sophia.space/news/sophia-space-and-sli-set-terms-for-300-million-asset-financing-for-10-satellite-high-performance-edge-computing-constellation,5,4,4,4.5,S,资产融资框架直接面向轨道边缘计算，10星和240台服务器均属规划，非到账或部署。,Yes,资产融资框架直接面向轨道边缘计算，10星和240台服务器均属规划，非到账或部署。,重点拆分资产方、卫星制造方和租赁客户的风险承担，验证轨道计算融资结构。,核对框架转正式采购、资金到位、首星制造与租赁合同。,公司网站标9月13日无时区；Newswire为9月14日00:01 ET，按上海时区归9月14日。同刻GeekWire为9月13日21:00。仅融资框架，不等于到账或融资交割。；三类检索审计见fin-overseas-stage4-audit.json；检索完成不等于事实已获公司确认。,No
W38-TECH-CN-005,2026-09-19,2026-09-19,China,Technology,Commercial_Space;Space_Compute;AI,中国航天;银河航天;航天宏图,长征二号丁发射宏图二号13至16星，搭载星上智能处理载荷,9月19日18时50分，长征二号丁将宏图二号13至16星送入预定轨道。银河航天披露四颗SAR卫星配备星上智能处理和任务规划载荷。,国家航天局,Official,https://www.cnsa.gov.cn/n6758823/n6758838/c10774500/content.html,S_Core,https://www.stcn.com/article/detail/4191758.html,5,4,4,4.5,S,内核：SAR星上智能处理和任务规划载荷进入轨道，后续需核实处理时延与下传节省。,Yes,内核：SAR星上智能处理和任务规划载荷进入轨道，后续需核实处理时延与下传节省。,把SAR星上处理列入应用验证案例，关注减少原始数据下传的业务收益。,跟踪在轨任务规划成功率、数据产品交付时延和真实付费客户。,发射时间由官方原文确认；智能处理载荷信息是证券时报转述银河航天，尚不是独立在轨性能验证。四星合并同一发射。,No
W38-TECH-CN-001,2026-09-20,2026-09-20,China,Technology,Space_Compute;AI;Commercial_Space,中科宇航;银河航天;鹏城实验室;南方科技大学,力箭一号一箭九星入轨，搭载通感智算与星载计算验证载荷,9月20日12时03分，力箭一号遥十八将秦岭01/02、浦江四号、鹏城首发、谛听A/B/C、超智算一号和云霄探路者送入预定轨道。鹏城首发星开展5G NTN基站、核心网、星载AI、星地激光及微波通信一体化技术验证。,国家航天局,Official,https://www.cnsa.gov.cn/n6758823/n6758838/c10774462/content.html,S_Core,https://www.stcn.com/article/detail/4191955.html,5,4,4,4.5,S,内核：通感智算与星载AI载荷入轨，为后续在轨性能提供实证入口；尚未完成指标验证。,Yes,内核：通感智算与星载AI载荷入轨，为后续在轨性能提供实证入口；尚未完成指标验证。,优先接洽鹏城首发及通感智算载荷团队，询问可运行任务与客户试用接口。,核验首批在轨遥测、推理性能、星地链路吞吐及开放调用时间。,日期由原文明确发射时间核实。同一发射任务合并记录，不拆成九件。入轨不等于各载荷在轨指标已完成验证。通感智算信息由人民财讯补充。,No
2026W38-CN-POL-002,2026-09-14,2026-09-14,China,Policy,Commercial_Space,工信部无线电管理局,无线电频率划分规定修订稿公开征求意见,依据无线电管理条例和WRC-23成果修订频率划分规定，意见反馈截止10月14日。,工信部,Official,https://www.miit.gov.cn/gzcy/yjzj/art/2026/art_ebc8c235df1b4582bcbdb5b54a1d0125.html,S_Core,,4,4,3,3.8,A,频谱划分直接约束卫星通信与算力数据下行通道；全国性规则征询具有系统影响，但尚未生效。,Yes,频谱划分直接约束卫星通信与算力数据下行通道；全国性规则征询具有系统影响，但尚未生效。,跟踪上述链路对应的许可、接口与采购边界，不将政策计划当成交付能力。,跟踪正式文本、征询反馈、后续招标/合同或执行细则。,这是征求意见动作，不是正式生效。,
2026W38-US-POL-001,2026-09-14,2026-09-14,US,Policy,Commercial_Space,美国参议院,Secure Space Act以修正版本向参议院报告,S.1962处于Reported in Senate阶段，拟限制涉及受覆盖通信设备或服务实体及其关联方的卫星许可、美国市场准入与地球站授权。,GovInfo,Official,https://www.govinfo.gov/app/details/BILLS-119s1962rs,S_Core,,4,4,3,3.8,A,拟限制卫星、地球站及市场准入，直接影响星地算力链路供应商合规；官方立法原文兜底，准确写参院报告阶段。,Yes,拟限制卫星、地球站及市场准入，直接影响星地算力链路供应商合规；官方立法原文兜底，准确写参院报告阶段。,跟踪上述链路对应的许可、接口与采购边界，不将政策计划当成交付能力。,跟踪正式文本、征询反馈、后续招标/合同或执行细则。,仅参院委员会报告版本，未通过成为法律；补充文本已核实。,
2026W38-CN-POL-003,2026-09-15,2026-09-15,China,Policy,Space_Compute;AI;Chip,工信部科技司,工信部公示太空算力抗辐射芯片与星载AI两项拟立项标准,9月15日公布的196项行业标准拟立项公示包含两项太空算力标准：抗辐射计算芯片总体要求，以及星载AI模型部署与推理优化要求；意见征集9月16日至10月15日。,工信部,Official,https://www.miit.gov.cn/jgsj/kjs/jscx/bzgf/art/2026/art_7281edfb5205446f8fda2fa942f82f1a.html,S_Core,https://www.miit.gov.cn/cms_files/filemanager/1226211233/attach/20269/3c1ec31efd864d00b777140fc616bc45.pdf,5,3,4,4.2,A,附件明确触及星载硬件与模型部署两类内核接口，修正此前附件未读而给出的C级。仍属立项征询，尚无已制定标准或强制实施，影响分仅3。,Yes,附件明确触及星载硬件与模型部署两类内核接口，修正此前附件未读而给出的C级。仍属立项征询，尚无已制定标准或强制实施，影响分仅3。,对照拟立项范围梳理辐射可靠性、模型部署与推理优化材料，评估参与标准讨论机会。,10月15日意见截止后的正式立项名单、具体草案范围和参加单位变化。,同一196项拟立项公示仍为一个事件原子，77/78不拆两条；不能称196项都是算力芯片，不能称已颁行标准。,
W38-TECH-CN-003,2026-09-15,2026-09-15,China,Technology,Chip;Space_Compute,航宇微,航宇微披露玉龙910设计进展，暂未流片,航宇微9月15日在投资者互动平台表示，玉龙910已完成规格定义、架构设计、IP配置优化及相关验证，以及部分前端设计，暂未流片。,每日经济新闻,Financial_Media,https://www.nbd.com.cn/articles/2026-09-15/4582295.html,S_Core,,5,2,3,3.7,A,内核：宇航计算芯片设计进度揭示供给成熟度，尚未流片显著限制近期可用性。,Yes,内核：宇航计算芯片设计进度揭示供给成熟度，尚未流片显著限制近期可用性。,将宇航处理器选型与流片风险分开评估，暂不按可采购芯片纳入近期交付方案。,核实流片时间、工艺、辐照验证计划与首批样片。,当日公司互动答复的媒体转述；核实的是披露时间及披露内容，未取得原始互动平台页面，不表述为芯片发布或量产。,No
W38-TECH-CN-011,2026-09-15,2026-09-16,China,Technology,Commercial_Space,银河航天,银河航天在老挝完成低轨卫星互联网连线验证,北京时间9月15日23时14分，银河航天在老挝万象完成低轨卫星互联网试验连线验证，拓展东南亚应用探索。,人民财讯/证券时报,Financial_Media,https://www.stcn.com/article/detail/4187177.html,S_Core,,4,3,4,3.7,A,中圈关键链路：跨境低轨互联网演示扩展可达市场，需与可收费服务区分。,Yes,中圈关键链路：跨境低轨互联网演示扩展可达市场，需与可收费服务区分。,评估低轨链路跨境试用能否连接现有遥感数据服务。,跟踪试验可用率、当地准入及商业合同，而非仅重复连线新闻。,正文明确北京时间；仅为演示验证，不等于商业服务部署或合同落地。,No
2026W38-GLOBAL-TECH-012,2026-09-15,2026-09-15,Global,Technology,AI;Commercial_Space,Kuva Space,Kuva Space公布高光谱与AI作物识别试点结果,公司公开Hyperfield-1与Sentinel-2融合分析试点：对阿富汗约24.9万农田区块识别潜在罂粟种植地，模型总体准确率75%，对照Sentinel-2单源为71%。,Kuva Space,Company,https://kuvaspace.com/en/resources/can-satellites-spot-illicit-crops-from-space-kuva-space-shows-hyperspectral-imaging-and-in-house-ai-models-boost-detection-at-scale,Watch,,4,3,4,3.7,A,空间数据：高光谱与AI融合结果提供任务价值验证，但处理地点不等于在轨，准确率需独立真值检验。,Yes,空间数据：高光谱与AI融合结果提供任务价值验证，但处理地点不等于在轨，准确率需独立真值检验。,评估高光谱增益能否覆盖数据获取成本，不把75%识别率视作可直接执行的真值。,核对盲测样本、误报漏报及独立现场验证。,本条为9/15公布试点结果；采集发生1–6月；预测不是独立实地核实，不表述为当周新试验或在轨AI推理。,Yes
2026W38-FIN-001,2026-09-16,2026-09-16,US,Financing,Commercial_Space,Impulse Space,Impulse Space宣布3.08亿美元D轮追加融资,公司宣布D轮追加3.08亿美元，整轮累计达8.08亿美元；资金用于在轨运输产品开发及团队扩张。,Impulse Space,Company,https://www.impulsespace.com/updates/impulse-space-announces-308-million-series-d-extension-to-meet-increasing-demand-for-in-space-mobility,Watch,企查查境内/境外原始清单,4,4,4,4.0,A,在轨运输供给融资扩张，影响载荷部署与轨道服务；3.08亿美元为追加额，不能再叠加整轮8.08亿美元。,Yes,在轨运输供给融资扩张，影响载荷部署与轨道服务；3.08亿美元为追加额，不能再叠加整轮8.08亿美元。,跟踪在轨运输供应是否改善多轨道载荷部署的可得性。,关注融资用途落地、产品任务与客户合同。,本周只计追加3.08亿美元，不重复计整轮8.08亿美元。；三类检索审计见fin-overseas-stage4-audit.json；检索完成不等于事实已获公司确认。,Yes
