event_id,date,published_date,country,sector,domain,entity,event_title,event_summary,source_name,source_type,source_url,source_tier,secondary_sources,space_compute_relevance_score,industry_impact_score,novelty_score,total_score,priority,reason_for_priority,include_in_report,implication,meaning_for_us,next_watch,analyst_note,source_discovery_flag
2026W36-FIN-036,2026-08-31,2026-08-31,China,Financing,Commercial_Space,中科密位,中科密位完成超亿元A1/A2轮融资,太空智能计算服务提供商；融资轮次：A1/A2轮；原始披露金额：超亿元；原始币种：CNY；人民币换算：N/A；美元换算：N/A；投资方：博华资本，经纬创投，高瓴创投，宇石空间，中新集团，BV百度风投，鑫睿创投，华控基金，科大硅谷创投。,顶端新闻,Mainstream_Media,https://www.topnews.cn/news/145ED1E048BB4A72,Watch,https://www.qcc.com/product/c8fead05-4f14-4778-8663-d7b91998377f.html,5,4,4,4.50,A,A级；相关性、产业影响与新颖性按本周可验证事实评分。,Yes,资本进入星座、链路、空间能源或在轨计算载体，可能改变载荷资源与部署节奏。,优先核验融资用途、技术成熟度、战略投资方与客户绑定。,补齐公开融资来源，并跟踪资金到账、产品验证、订单与发射计划。,来自企查查domestic清单；商业航天、卫星、火箭、遥感或空间基础设施；1 USD=6.7787 CNY；汇率日期：2026-09-04；来源：Xinhua/CFETS central parity: https://english.news.cn/20260904/955a385334194d30aa7a1c8cc8493fa7/c.html；三类查询均命中同一超亿元A1/A2轮融资。,qcc_crosscheck+public_source_completed
2026W36-PUB-124,2026-08-31,2026-08-31,US,Technology,Commercial_Space;Chip,NASA / Infineon,英飞凌抗辐射半导体随NASA Roman空间望远镜入轨,"38ff08046863ff70487d57929""},""headline"":""Radiation-hardened semiconductors fly on NASA Roman telescope"",""datePublished"":""2026-08-31T12:36:03+00:00"",""dateModified"":""2026-08-31T12:36:03+00:00"",""mainEntityOfPage"":{""@id"":""https://www.eenewseurope.com/en/radiation-hardened-semiconductors-fly-on-nasa-roman-telescope/""},""wordCount"":368,""publisher : 992px) { #leaderboardmobile { display: none; } } Radiation-hardened semiconductors fly on NASA Roman telescope News | August 31, 2026 By Alina Neacsu NASA Infineon GaN aerospace power var postid = 498941; Infineon’s radiation-hardened semiconductors are on",eenewseurope.com,Industry_Media,https://www.eenewseurope.com/en/radiation-hardened-semiconductors-fly-on-nasa-roman-telescope,Watch,,5,4,4,4.50,A,A级；相关性、产业影响与新颖性按本周可验证事实评分。,Yes,事件直接验证或扩展在轨计算、空间数据处理或宇航级算力硬件，是主航道实证节点。,优先评估性能、可复制性、服务调用和客户扩张节奏。,跟踪在轨指标、商业调用、后续任务和软硬件架构。,Pass C 原文抓取成功且页面出现周窗口日期；评级留待 Stage 4。,pass_a_web
2026W36-FIN-038,2026-08-31,2026-08-31,China,Financing,Commercial_Space,恒星力量,恒星力量完成Pre-A轮融资,商业航天空间能源解决方案提供商；融资轮次：Pre-A轮；原始披露金额：-；原始币种：未披露；人民币换算：N/A；美元换算：N/A；投资方：国开科创，上海未来产业基金，新鼎资本，长石资本，BV百度风投，沄柏资本，明裕创投，黑水磐石，凯辉基金，厚雪资本。,投资界,Industry_Media,https://news.pedaily.cn/202608/568333.shtml,Watch,https://www.qcc.com/product/f44c70584fb9c8e520ef7e87873c7a46.html,4,4,4,4.00,A,A级；相关性、产业影响与新颖性按本周可验证事实评分。,Yes,资本进入星座、链路、空间能源或在轨计算载体，可能改变载荷资源与部署节奏。,优先核验融资用途、技术成熟度、战略投资方与客户绑定。,补齐公开融资来源，并跟踪资金到账、产品验证、订单与发射计划。,来自企查查domestic清单；商业航天、卫星、火箭、遥感或空间基础设施；1 USD=6.7787 CNY；汇率日期：2026-09-04；来源：Xinhua/CFETS central parity: https://english.news.cn/20260904/955a385334194d30aa7a1c8cc8493fa7/c.html；公开页可解析，披露国开科创领投及资金用途。,qcc_crosscheck+public_source_completed
2026W36-PUB-126,2026-08-31,2026-08-31,China,Technology,Commercial_Space,地月空间通信团队,我国完成地月空间双向高速激光通信链路验证,关闭,wb.sznews.com,Industry_Media,https://wb.sznews.com/PC/content/202608/31/content_3474586.html,Watch,,4,4,4,4.00,A,A级；相关性、产业影响与新颖性按本周可验证事实评分。,Yes,该任务、载体或数据链路节点影响太空算力可部署性、数据回传或单位成本。,作为载体与链路节奏证据，判断是否形成可复用服务能力。,跟踪后续任务、合同、可靠性指标和运营数据。,Pass C 原文抓取成功且页面出现周窗口日期；评级留待 Stage 4。,pass_a_bocha
2026W36-PUB-130,2026-08-31,2026-08-31,China,Policy,Commercial_Space,国家标准委 / 全国宇航技术及其应用标准化技术委员会,卫星互联网综合应用场景标准化指导性技术文件登记立项,国家标准化指导性技术文件登记项目《卫星互联网应用场景和要求,std.samr.gov.cn,Official,https://std.samr.gov.cn/gb/search/gbDetailed?id=5A4E35E2306AA6D6E06397BE0A0A8154,S_Core,https://std.samr.gov.cn/gfs/search/gfsDetailed?id=5A4E35E2306BA6D6E06397BE0A0A8154,4,4,4,4.00,A,A级；相关性、产业影响与新颖性按本周可验证事实评分。,Yes,该动作影响频谱、许可、算力供给或产业资源配置；需以执行细则、预算和项目清单判断实际强度。,把它作为部署与采购节奏的领先指标，不直接等同于新增收入。,跟踪实施细则、项目名单、采购公告和企业落地。,Pass C 原文抓取成功且页面出现周窗口日期；评级留待 Stage 4。,pass_a_bocha
2026W36-SUP-017,2026-09-01,2026-09-01,China,Technology,Space_Compute;Commercial_Space;AI,东升宇航,东升宇航披露10kW级大型算力卫星研制与关键部件地面验证进展,企业已完成7000kg超大型通用卫星平台研制和地面试验，正研制10kW级大型算力卫星，并完成大型柔性太阳翼、综合电子、5G星载基站和全数字相控阵天线验证。,腾讯新闻,Industry_Media,https://news.qq.com/rain/a/20260901A0AHIN00,Watch,,5,4,4,4.50,A,A级；相关性、产业影响与新颖性按本周可验证事实评分。,Yes,事件直接验证或扩展在轨计算、空间数据处理或宇航级算力硬件，是主航道实证节点。,优先评估性能、可复制性、服务调用和客户扩张节奏。,跟踪在轨指标、商业调用、后续任务和软硬件架构。,Stage 1-2 gate remediation; event date checked inside W36.,stage12_remediation
2026W36-PUB-088,2026-09-01,2026-09-01,China,Policy,Commercial_Space,时空道宇 / 工业和信息化部,时空道宇获卫星物联网商用试验批复,"近日,中国商业航天企业时空道宇正式获得工业和信息化部批复的卫星物联网业务商用试验许可,试验期两年。标志着民营企业卫星物联网运营业务纳入国家电信监管体系开展试点,为我国卫星物联网市场化准入积累实践经验。民营企业不再局限于卫星发射与组网任务,得以在监管框架下合法合规开展试点运营。",bjnews.com.cn,Industry_Media,https://www.bjnews.com.cn/detail/1788272712129346.html,Watch,https://m.bjnews.com.cn/detail/1788272712129346.html,4,4,4,4.00,A,A级；相关性、产业影响与新颖性按本周可验证事实评分。,Yes,该动作影响频谱、许可、算力供给或产业资源配置；需以执行细则、预算和项目清单判断实际强度。,把它作为部署与采购节奏的领先指标，不直接等同于新增收入。,跟踪实施细则、项目名单、采购公告和企业落地。,Pass C 原文抓取成功且页面出现周窗口日期；评级留待 Stage 4。,pass_a_bocha
2026W36-PUB-062,2026-09-02,2026-09-02,US,Policy,Commercial_Space,Sierra Space,Sierra Space获Dream Chaser首飞载荷合同,"ra Space Secures National Security and Commercial Payload Contracts for Dream Chaser Inaugural Flight"",""datePublished"":""2026-09-02T12:54:09+00:00"",""dateModified"":""2026-09-02T13:49:30+00:00"",""mainEntityOfPage"":{""@id"":""https://www.sierraspace.com/press-releases/sierra-space-secures-national-security-and-commercial-payload-contracts-for-drea ); } } );} ); Sierra Space Secures National Security and Commercial Payload Contracts for Dream Chaser Inaugural Flight September 2, 2026 | News LOUISVILLE, Colo. , Sept. 2, 2026 – Sierra Space, a defense-tech space company delivering solutions for the nation",sierraspace.com,Industry_Media,https://www.sierraspace.com/press-releases/sierra-space-secures-national-security-and-commercial-payload-contracts-for-dream-chaser-inaugural-flight,Watch,,4,4,4,4.00,A,A级；相关性、产业影响与新颖性按本周可验证事实评分。,Yes,该动作影响频谱、许可、算力供给或产业资源配置；需以执行细则、预算和项目清单判断实际强度。,把它作为部署与采购节奏的领先指标，不直接等同于新增收入。,跟踪实施细则、项目名单、采购公告和企业落地。,Pass C 原文抓取成功且页面出现周窗口日期；评级留待 Stage 4。,pass_a_web
2026W36-PUB-046,2026-09-03,2026-09-03,China,Technology,Space_Compute;Commercial_Space;AI,太空计算卫星星座 / 之江实验室,太空算力云实现常态化在轨算力服务,本报北京9月2日电,paper.people.com.cn,Industry_Media,https://paper.people.com.cn/rmrb/pc/content/202609/03/content_30178845.html,Watch,https://wlaq.gmw.cn/2026-09/04/content_38985220.htm;https://news.qq.com/rain/a/20260903A03IGH00;https://news.qq.com/rain/a/20260903A03B2N00;https://finance.eastmoney.com/a/202609033863184372.html;https://business.cctv.com/2026/09/03/ARTI8YwccqNx8L96ibVmU2c7260903.shtml;http://kpzg.people.com.cn/n1/2026/0903/c404214-40791498.html;https://news.china.com/domestic/945/20260902/49713905_1.html;http://gdstc.gd.gov.cn/kjzx_n/mtjj/content/mpost_4948575.html,5,4,4,4.50,A,A级；相关性、产业影响与新颖性按本周可验证事实评分。,Yes,事件直接验证或扩展在轨计算、空间数据处理或宇航级算力硬件，是主航道实证节点。,优先评估性能、可复制性、服务调用和客户扩张节奏。,跟踪在轨指标、商业调用、后续任务和软硬件架构。,Pass C 原文抓取成功且页面出现周窗口日期；评级留待 Stage 4。,pass_a_bocha
2026W36-FIN-007,2026-09-04,2026-09-04,China,Financing,Commercial_Space,轨道辰光,轨道辰光完成Pre-A轮融资,天基算力服务提供商；融资轮次：Pre-A轮；原始披露金额：-；原始币种：未披露；人民币换算：N/A；美元换算：N/A；投资方：远德资本，华控基金，金砖基金，国元股权，高信资本，长石资本，唐兴资本，东方丰海资本，国科投资，英诺基金，华强资本，飞图创投，砺哲基金，安徽新华投资集团。,东方财富网,Mainstream_Media,https://finance.eastmoney.com/a/202609043865630668.html,Watch,https://www.qcc.com/product/4dcea830d899d9d06d29332c107950eb.html,5,4,4,4.50,A,A级；相关性、产业影响与新颖性按本周可验证事实评分。,Yes,资本进入星座、链路、空间能源或在轨计算载体，可能改变载荷资源与部署节奏。,优先核验融资用途、技术成熟度、战略投资方与客户绑定。,补齐公开融资来源，并跟踪资金到账、产品验证、订单与发射计划。,来自企查查domestic清单；商业航天、卫星、火箭、遥感或空间基础设施；1 USD=6.7787 CNY；汇率日期：2026-09-04；来源：Xinhua/CFETS central parity: https://english.news.cn/20260904/955a385334194d30aa7a1c8cc8493fa7/c.html；三类查询均命中新一轮融资；公开标题未明确Pre-A轮，轮次继续以企查查为交叉验证口径。,qcc_crosscheck+public_source_completed
