event_id,date,published_date,country,sector,domain,entity,event_title,event_summary,source_name,source_type,source_url,source_tier,secondary_sources,space_compute_relevance_score,industry_impact_score,novelty_score,total_score,priority,reason_for_priority,include_in_report,implication,meaning_for_us,next_watch,analyst_note,source_discovery_flag
W31-E012,2026-07-27,2026-07-27,China,Policy,Public scan,,国星宇航与商汤规划“千星万P”太空算力星座,"中经记者谭伦北京报道
人工智能基础设施竞争,正在从地面走向太空。
在日前举行的2026世界人工智能大会(WAIC2026)期间,成都国星宇航科技股份有限公司与商汤科技宣布共建“商汤太空算力星座”。根据双方规划,该项目将按照“单星验证—平台建设—星座组网”的路径推进,计划2026年完成首批“商汤号”算力卫星组网验证,2028年建设星地混合云商用算力骨干网,到2030年形成由千颗级算力卫星组成、总算力超过万P(每秒千万亿次浮点运算)的太空算力星座。
这一合作,也首度将“空间计算”这一此前更多停留在技术探索阶段的新概念,推向产业关注中心。
根据行业定义,所谓空间计算,并非简单地把服务器搬到太空,而是在卫星平台上部署计算芯片、存储模块以及人工智能算法,使卫星具备数据采集、实时分析和智能决策能力,实现从“采集数据—传回地面—集中处理”向“在轨计算—结果回传”的模式转变。
近年来,随着大模型、生成式AI快速发展,全球算力需求持续增长。与此同时,传统地面智算中心正在面临能源、电力、土地以及散热等多重约束。尤其是人工智能训练和推理任务不断扩大,对数据中心的能源供给提出更高要求。国际能源署此前预计,全球数据中心电力消耗将在人工智能发展的推动下持续增长,未来几年可能成为全球新增电力需求的重要来源之一。
在此背景下,将部分计算能力部署到太空的尝试,正在成为全球科技企业探索的新方向。
为何向太空延伸?
谁能够率先形成成熟的空间计算体系,也可能影响未来人工智能产业资源分布格局。
过去十余年,全球算力基础设施建设基本围绕地面数据中心展开。从互联网时代的云计算中心,到人工智能时代的智算中心,算力增长始终依赖服务器集群、电力供应以及网络连接能力。
但生成式AI的快速发展,正在改变这一模式。通信分析师周桂军指出,与传统互联网应用相比,大模型训练和推理需要消耗更大规模的计算资源。尤其是在多模态模型、智能体等",财经头条,Public web,https://t.cj.sina.com.cn/articles/view/1650111241/625ab30902001h10u?finpagefr=p_104_a,A_Active,,5,4,4,4.50,S,相关性5/5、产业影响4/5、新颖性4/5；加权4.50。,Yes,该动作通过产业规划、地方专项或工程组织推动太空算力与商业航天供给，需区分正式项目与远期目标。,用于判断国内星座、算力基础设施和关键供应链何时从政策信号转化为可执行项目与采购需求。,跟踪首批部署、正式资金、技术指标、供应商名单及是否形成公开采购或客户合同。,Pass C opened; dated in weekly window. Stage 2 retains all dated public hits without relevance filtering. Origin ID: W31-P017.,Pass_C_supplemental
W31-S013,2026-07-27,2026-07-27,US,Technology,space_compute,SES Space & Defense / Starlab,SES and Starlab design always-on relay communications for commercial station,"The partners agreed to integrate O3b mPOWER-based low-latency relay services into Starlab, supporting continuous telemetry, researcher access and mission awareness for the planned AI-enabled station.",SES,Company newsroom,https://www.ses.com/news/press-release/ses-space-defense-and-starlab-enter-agreement-to-enable-communications-for,A_Active,,5,4,4,4.50,S,相关性5/5、产业影响4/5、新颖性4/5；加权4.50。,Yes,该节点提供了运载、在轨服务、通信链路或任务工程的新增验证，价值取决于后续实测数据与规模化复用。,用于校准星上算力所依赖的载体、链路、任务运营和在轨基础设施成熟度。,跟踪下一次任务节点、测试结果、在轨数据、合同执行和可复用性指标。,Recovered during Stage 4 audit because the earlier Stage 2 builder omitted Pass A/B official-source results.,Pass_A_B_recovery
W31-E055,2026-07-30,2026-07-30,China,Policy,Public scan,,“星枢计划”发布首发星座“一主二辅”架构,"本报讯
近日,在2026世界人工智能大会“未来计算
未来算力”专题论坛上,“星枢计划”首发星座正式发布。
据了解,“星枢计划”由复旦大学联合上海星枢天算牵头研制,项目在工程验证阶段将发射2颗算力星+12颗边缘计算星,在商业部署阶段计划发射50颗算力星+100颗边缘计算星,在商业运营阶段将完成千星部署。
本次对外发布的首发星座采用“一主二辅”星簇架构,即“1颗中心算力主星+1颗伏羲气象星+1颗即时遥感星”极简星簇布局,构成独立闭环最小算力验证单元,三星依托星间激光链路互联互通,所有数据采集、AI推理、研判分析全部在轨完成,无须下传海量原始遥感数据。
未来,“星枢计划”将推出两大核心全域场景服务,释放天基算力广阔市场需求。一方面,提供按需即问即算分布式太空算力服务。依托“一主二辅”星簇分布式算力底座,搭建标准化算力调用接口,面向政府、能源、航运、金融、科研机构提供分时、在轨算力租赁。地面企业海量时空数据可加密上传星座完成AI训练、时空融合运算,按需灵活采购短时推理、长期算力包,大幅降低地面机房建设与算力成本。另一方面,支撑全域天基智能一体化场景服务。基于复旦大学自研伏羲、大禹、微波视觉等行业专用大模型,自动完成气象预警、灾害监测、港口航运、电网巡检等标准化情报产品,为应急、气象、自然资源、能源等部门提供常态化太空即时遥感服务支撑,削减人工判读与地面算力投入。
“星枢计划”项目落地将加速上海太空算力产业集聚,预计5年带动上下游配套企业超百家,有望助推上海太空算力相关产业年产值突破千亿元。同时,“星枢计划”将助力共建“一带一路”,面向共建国家提供气象、遥感普惠算力服务,共建跨境灾害、生态监测体系等。(邓聪)",人民邮电报,Public web,https://rmydb.cnii.com.cn/html/2026/20260730/20260730_005/20260730_005_08_5608.html,A_Active,,5,4,4,4.50,S,相关性5/5、产业影响4/5、新颖性4/5；加权4.50。,Yes,该动作通过产业规划、地方专项或工程组织推动太空算力与商业航天供给，需区分正式项目与远期目标。,用于判断国内星座、算力基础设施和关键供应链何时从政策信号转化为可执行项目与采购需求。,跟踪首批部署、正式资金、技术指标、供应商名单及是否形成公开采购或客户合同。,Pass C opened; dated in weekly window. Stage 2 retains all dated public hits without relevance filtering. Origin ID: W31-P083.,Pass_C_supplemental
W31-E051,2026-07-27,2026-07-27,US,Technology,Public scan,,NASA公布三次美国舱外活动计划,"Editor’s
note:
This
media
advisory
was
updated
July
27,
2026
to
reflect
an
updated
start
time
for
the
spacewalk
on
Thursday,
Aug.
6.
NASA
will
provide
coverage
as
astronauts
venture
outside
the
International
Space
Station
during
three
spacewalks
in
August
to
continue
upgrading
solar
arrays,
replace
a
communications
antenna,
and
connect
power
and
data
cables
in
support
of
space
station
operations.
Experts
will
preview
the
upcoming
spacewalks
during
a
news
conference
at
2
p.m.
EDT,
Thursday,
July
30,
from
NASA’s
Johnson
Space
Center
in
Houston.
NASA
will
stream
these
events
through
a
variety
of
platforms.
Learn
where
to
watch
online:
https://www.nasa.gov/live
NASA
participants
in
the
news
conference
include:
Bill
Spetch,
deputy
manager
of
Commercial,
Low
Earth
Orbit
Program
Chris
Dobbins,
s",NASA,Public web,https://www.nasa.gov/news-release/nasa-to-cover-three-us-spacewalks-host-preview-news-conference/,A_Active,,4,4,4,4.00,A,相关性4/5、产业影响4/5、新颖性4/5；加权4.00。,Yes,该节点提供了运载、在轨服务、通信链路或任务工程的新增验证，价值取决于后续实测数据与规模化复用。,用于校准星上算力所依赖的载体、链路、任务运营和在轨基础设施成熟度。,跟踪下一次任务节点、测试结果、在轨数据、合同执行和可复用性指标。,Pass C opened; dated in weekly window. Stage 2 retains all dated public hits without relevance filtering. Origin ID: W31-P075.,Pass_C_supplemental
W31-S002,2026-07-27,2026-07-27,US,Policy,satellite,FCC / SES,FCC approves Upper C-band order with satellite clearing incentives,The FCC approved an order to auction 160 MHz of Upper C-band spectrum; SES said about $5.6 billion of incentives are contingent on clearing milestones in 2030 and 2031.,SES,Company newsroom,https://www.ses.com/news/press-release/ses-statement-on-fcc-upper-cband-auction-decision,A_Active,,4,4,4,4.00,A,相关性4/5、产业影响4/5、新颖性4/5；加权4.00。,Yes,该动作改变许可、频谱、研发资金或公共基础设施供给条件，需区分已生效安排与仍待审批/执行的部分。,用于判断美国政策工具如何压缩商业航天和算力基础设施的落地周期，并校准国内政策与产业支持差异。,跟踪正式规则、最终拨款、执行时间表及受益主体是否转化为订单或部署。,Recovered during Stage 4 audit because the earlier Stage 2 builder omitted Pass A/B official-source results.,Pass_A_B_recovery
W31-S010,2026-07-27,2026-07-27,US,Technology,satellite,NASA Roman Space Telescope,NASA completes fueling milestone for Roman Space Telescope,"NASA fueled the Roman Space Telescope ahead of its planned late-August launch, moving the flagship observatory through a final ground-processing milestone.",NASA,Government,https://science.nasa.gov/blogs/roman/2026/07/27/nasa-fuels-roman-space-telescope-for-late-august-launch/,S_Core,,4,4,4,4.00,A,相关性4/5、产业影响4/5、新颖性4/5；加权4.00。,Yes,该节点提供了运载、在轨服务、通信链路或任务工程的新增验证，价值取决于后续实测数据与规模化复用。,用于校准星上算力所依赖的载体、链路、任务运营和在轨基础设施成熟度。,跟踪下一次任务节点、测试结果、在轨数据、合同执行和可复用性指标。,Recovered during Stage 4 audit because the earlier Stage 2 builder omitted Pass A/B official-source results.,Pass_A_B_recovery
W31-E118,2026-07-28,2026-07-28,Global,Financing,commercial_space,Array Labs,Array Labs完成A轮融资,遥感卫星技术研发商；原始金额：2100万美元；投资方：三菱电机，Catapult Ventures，KOMPAS VC，Y Combinator；人民币换算：142577400.00；美元换算：21000000.00。,PR Newswire,Newswire,https://www.prnewswire.com/news-releases/array-labs-raises-additional-21m-anchored-by-strategic-investment-from-mitsubishi-electric-302836035.html,A_Active,https://www.qcc.com/product/ba2a3dcbf19b9f5d80216f2c529a8140.html,4,3,4,3.70,A,相关性4/5、产业影响3/5、新颖性4/5；加权3.70。,Yes,资本继续流向运载、卫星和空间基础设施，但披露金额不等同于技术或商业验证。,用于观察商业航天供给侧扩张、估值锚和潜在合作标的。,跟踪资金到账、产品里程碑、发射计划和后续客户合同。,来自企查查（境外）清单 + 行业归属：商业航天/卫星/火箭/遥感；原始币种 USD。 Stage 3三类公开来源查询完成并命中；企查查降为交叉验证。 Origin ID: W31-F156.,Manual_Import
W31-S001,2026-07-28,2026-07-28,US,Policy,commercial_space,FAA,FAA launches initiative to streamline commercial-space licensing,"The FAA proposed allowing waivers from duplicative environmental review requirements for certain launch, reentry and spaceport licenses, with a 30-day comment period.",Federal Aviation Administration,Government,https://www.faa.gov/newsroom/liftoff-trumps-transportation-secretary-sean-p-duffy-announces-major-move-streamline,S_Core,,4,4,4,4.00,A,相关性4/5、产业影响4/5、新颖性4/5；加权4.00。,Yes,该动作改变许可、频谱、研发资金或公共基础设施供给条件，需区分已生效安排与仍待审批/执行的部分。,用于判断美国政策工具如何压缩商业航天和算力基础设施的落地周期，并校准国内政策与产业支持差异。,跟踪正式规则、最终拨款、执行时间表及受益主体是否转化为订单或部署。,Recovered during Stage 4 audit because the earlier Stage 2 builder omitted Pass A/B official-source results.,Pass_A_B_recovery
W31-S009,2026-07-28,2026-07-28,US,Technology,satellite,NASA / Katalyst Space,Katalyst LINK spacecraft enters commissioning for NASA Swift orbit boost,"NASA reported commissioning progress for the robotic spacecraft intended to rendezvous with and raise the orbit of the Swift observatory, a commercial in-space servicing demonstration.",NASA,Government,https://science.nasa.gov/blogs/swift/2026/07/28/commissioning-update-for-spacecraft-to-boost-nasas-swift/,S_Core,,4,4,4,4.00,A,相关性4/5、产业影响4/5、新颖性4/5；加权4.00。,Yes,该节点提供了运载、在轨服务、通信链路或任务工程的新增验证，价值取决于后续实测数据与规模化复用。,用于校准星上算力所依赖的载体、链路、任务运营和在轨基础设施成熟度。,跟踪下一次任务节点、测试结果、在轨数据、合同执行和可复用性指标。,Recovered during Stage 4 audit because the earlier Stage 2 builder omitted Pass A/B official-source results.,Pass_A_B_recovery
W31-E096,2026-07-30,2026-07-30,China,Financing,commercial_space,空天时代,空天时代完成天使+轮融资,空天动力及高速飞行器研产商；原始金额：-；投资方：飞凡创投，顺禧基金，芯能创投；人民币换算：N/A；美元换算：N/A。,投中网,行业媒体,https://www.chinaventure.com.cn/news/110-20260730-392528.html,A_Active,https://www.qcc.com/product/d7a4251d55828e2728c0e0be2e6f20ee.html,4,3,4,3.70,A,相关性4/5、产业影响3/5、新颖性4/5；加权3.70。,Yes,资本继续流向运载、卫星和空间基础设施，但披露金额不等同于技术或商业验证。,用于观察商业航天供给侧扩张、估值锚和潜在合作标的。,跟踪资金到账、产品里程碑、发射计划和后续客户合同。,来自企查查（境内）清单 + 行业归属：商业航天/卫星/火箭/遥感；原始币种 未披露。 Stage 3三类公开来源查询完成并命中；企查查降为交叉验证。 Origin ID: W31-F134.,Manual_Import
